"Date";"Open";"High";"Low";"Close";"Volume";"Market.Cap"
2018-04-09;7013,715303761;7155,497903783;6663,30851726;6772,871609032;3560325736,66433;117673759659,826
2018-04-10;6782,532082976;6876,318024906;6710,130736696;6844,301557074;3585817439,02441;115498144607,216
2018-04-11;6845,560832212;6946,72149145;6832,638659323;6932,843296341;3484554527,37031;116633027003,159
2018-04-12;6933,971966124;7824,357865721;6788,545634357;7821,822516784;5569495530,07333;123866648137,78
2018-04-13;7821,364048725;8124,051804321;7698,959083191;7866,931622664;7108692314,55823;135711160795,367
2018-04-14;7862,97915655;8084,181205753;7806,771553998;7910,243775102;5221454291,82043;135006677595,696
2018-04-15;7931,478615367;8313,382621504;7927,418850318;8301,987534486;4064566540,13859;139314075515,987
2018-04-16;8306,241710004;8344,618512825;7899,380607325;8038,471104588;4364099389,48831;137323175499,905
2018-04-17;8042,520382416;8126,352751841;7856,158341611;7889,503630474;4617797211,77892;136782286541,117
2018-04-18;7898,148906651;8168,591183808;7888,236331363;8133,862763488;5174175282,72569;137352270224,708
2018-04-19;8137,721564119;8284,837636099;8108,010267689;8280,643109928;5571921609,66227;139697891452,241
2018-04-20;8279,071885016;8872,53251671;8247,720146658;8813,044081412;5856252722,49064;143325849306,409
2018-04-21;8831,324167528;8961,90220134;8631,505469677;8884,348603911;6592572345,59616;149672369138,118
2018-04-22;8890,882431127;8959,354943453;8766,335741868;8787,210205792;5388898212,03886;151206617490,122
2018-04-23;8785,307707704;8966,254422322;8775,238204718;8924,023356307;5577263962,68218;151137648092,489
2018-04-24;8927,498952717;9715,110087646;8924,774677074;9715,110087646;7015588899,81364;158243944130,898
2018-04-25;9689,429015472;9745,085959592;8828,361916339;8846,751894883;9496007199,25821;157076395722,315
2018-04-26;8858,958858584;9274,510917015;8698,795549002;9268,527836866;7840135344,80065;151190285700,754
2018-04-27;9272,68850891;9364,296827707;8970,449550854;8974,089790534;6420471433,75568;156938588046,231
2018-04-28;8945,682032015;9402,661887865;8905,423788527;9337,281362637;6044135769,56815;157157916638,808
2018-04-29;9337,929478299;9519,119728571;9194,490547479;9413,40930469;6578695509,14617;159435102032,22
2018-04-30;9412,933156562;9463,94025988;9173,147998396;9240,335679495;6189381726,74517;158509667847,13
2018-05-01;9253,083882874;9253,083882874;8881,779113875;9096,810021871;6156448195,89847;153208735785,094
2018-05-02;9084,637928461;9244,47783939;8996,732769032;9236,704388957;4980811639,29496;155625522100,664
2018-05-03;9236,410635499;9807,420823607;9186,736181493;9769,29029264;6010894136,37841;159730733869,015
2018-05-04;9758,94385267;9790,00623478;9597,486912472;9718,724265271;6816067136,57305;163695392583,125
2018-05-05;9714,030902412;9972,750074274;9708,097850641;9864,060648696;5831668636,07893;167518425717,919
2018-05-06;9869,313498486;9960,40872297;9495,756447446;9666,853489071;5579263731,54021;164319563566,668
2018-05-07;9673,823718897;9679,398283406;9256,524550388;9372,87800412;5126629695,11031;159171331027,528
2018-05-08;9380,792342012;9468,199602424;9136,383479152;9233,687914131;5187265753,79584;158129844824,814
2018-05-09;9232,346558206;9384,380916193;9074,433276642;9327,374046577;5229298823,6157;157041351530,423
2018-05-10;9314,428561457;9393,068048204;9037,392111957;9037,392111957;5032109490,29759;158203200269,255
2018-05-11;9040,788664552;9040,788664552;8394,76746297;8422,663809755;5789182783,71833;148566676930,081
2018-05-12;8416,407227841;8640,19705144;8196,315735074;8488,213129483;5465653039,49736;144028397248,745
2018-05-13;8488,707530407;8753,425965701;8376,21910193;8699,820502933;4329079560,40362;146413407329,291
2018-05-14;8696,818046123;8895,462875722;8347,174977365;8740,312767923;5019113653,88291;146843548689,046
2018-05-15;8735,400032204;8832,72290218;8477,513110566;8515,70113433;5366406569,28646;147377649848,073
2018-05-16;8508,251974499;8508,674225949;8164,50493598;8343,900225706;5131375183,09875;141362049290,155
2018-05-17;8341,615725326;8408,350501548;8054,71466031;8088,947899194;4471142637,65474;141534195261,128
2018-05-18;8093,347179942;8258,631884202;7968,007687838;8236,681883593;4472415561,77629;138311169552,2
2018-05-19;8236,02240278;8338,416559235;8160,754424617;8225,333518556;3931791516,72324;140814675664,796
2018-05-20;8232,481806821;8538,388398431;8177,724729808;8499,122900226;3622202463,38502;142883459805,1
2018-05-21;8504,392245727;8536,846506431;8353,567838539;8399,115042185;3892425909,51309;144399603233,063
2018-05-22;8398,980741383;8398,980741383;8016,111591945;8032,093710758;3751166478,6619;140965212363,838
2018-05-23;8021,527115451;8050,003180465;7525,488247962;7570,538188039;4347099237,87214;133788780303,855
2018-05-24;7558,332248074;7740,093094955;7340,474586303;7576,278751944;4962607292,14231;128983159056,421
2018-05-25;7597,498837309;7649,03106349;7397,19078942;7488,63722059;4140362593,80529;127945639029,034
2018-05-26;7483,923186515;7574,745396445;7344,829727195;7349,788651908;3196176483,88651;127948559647,401
2018-05-27;7358,682109051;7380,225321265;7269,543823627;7363,936760174;3037874870,66196;125071558308,789
2018-05-28;7366,64777523;7442,193014039;7141,115481176;7149,250597223;3215107342,6457;124215494408,842
2018-05-29;7148,382787397;7530,365297941;7108,097718043;7474,562016474;3815081591,77601;124630231434,778
2018-05-30;7475,380975127;7572,028923792;7330,9415028;7411,621917051;3899968538,10464;127218701522,556
2018-05-31;7410,996883153;7588,941668177;7361,209308722;7504,038586976;3635904694,01493;128090140880,019
2018-06-01;7503,960275241;7590,623838226;7411,831128257;7525,473796775;3534811211,33446;127779434179,467
2018-06-02;7520,809781437;7659,692451349;7481,281344806;7588,637727714;3506255999,62537;129517556531,764
2018-06-03;7586,635658935;7709,254871346;7567,496422821;7684,931799179;3988066391,91673;131477090606,007
2018-06-04;7687,675751763;7709,043781258;7473,489414432;7505,890508055;3930562178,71051;129809953835,06
2018-06-05;7504,61258223;7628,660710951;7407,33775354;7612,11517624;3615936275,26993;127854338897,61
2018-06-06;7611,859043556;7645,242998408;7501,760893237;7577,593404507;3324816448,42083;129746655128,228
2018-06-07;7576,087612329;7711,707126213;7576,087612329;7654,789136027;3371952934,70025;131241247121,217
2018-06-08;7659,86399996;7677,59749411;7564,965086893;7622,637061001;2974280008,59986;130241534909,565
2018-06-09;7624,284000169;7658,105197332;7559,667408968;7559,667408968;2724319399,40943;130144429836,024
2018-06-10;7563,600993476;7563,600993476;6759,046140495;6797,078904208;3104326326,99763;122562640554,785
2018-06-11;6804,106499107;6851,118289256;6721,954597059;6847,943670812;3827038711,60233;115730062694,324
2018-06-12;6845,923064395;6867,287029976;6535,55115894;6558,514878298;3102008136,8683;115883252761,093
2018-06-13;6559,943493856;6599,514735849;6283,231868523;6308,396028075;3295765432,76754;110547750538,438
2018-06-14;6307,58885043;6667,67355404;6293,277844784;6649,438347225;3663602706,47204;111014489453,796
2018-06-15;6650,926764781;6652,572392248;6470,053173969;6473,773490579;3114118486,9412;112236734784,518
2018-06-16;6469,496413441;6514,550897064;6395,022990667;6505,755311335;2350148804,58219;110323600936,402
2018-06-17;6500,4350038;6541,234834405;6459,314000665;6461,213024688;2039619863,67244;111222374664,013
2018-06-18;6460,21840507;6724,30158934;6400,071429431;6700,596020849;2259399591,5333;111265161991,753
2018-06-19;6705,753311753;6754,452193254;6677,957643267;6722,636752661;2930821031,40877;114742560036,163
2018-06-20;6720,901573124;6754,942346176;6577,803076101;6734,137827984;3087939613,09433;114051666953,161
2018-06-21;6734,137827984;6770,207068431;6695,896163838;6711,941657499;2901154211,88098;115067734172,998
2018-06-22;6712,439403078;6715,006408875;6056,861989359;6071,720089041;3351734963,00133;109318040094,606
2018-06-23;6073,054271142;6244,375949169;6070,106576437;6156,30026398;4089480599,81679;104886130046,063
2018-06-24;6157,664107899;6211,292125144;5829,901535379;6149,117943358;3728670367,48086;103104840640,457
2018-06-25;6149,963218829;6289,175733833;6113,991152687;6238,074118939;4343151231,3203;106019354755,629
2018-06-26;6247,163489863;6255,443512707;6103,030719908;6103,030719908;3889799376,78338;106201817724,485
2018-06-27;6108,081816244;6172,527246137;6049,848945012;6108,694145794;3736840201,22038;104332774796,423
2018-06-28;6118,418332491;6138,655470336;5896,088025206;5912,435445858;3121465243,00719;104230356277,987
2018-06-29;5910,738003714;6180,342189053;5847,32314046;6127,560923281;2839622172,24384;101303448487,614
2018-06-30;6133,70397686;6425,917484836;6130,99266295;6376,564855317;3771289831,8426;109013793431,196
2018-07-01;6385,423752059;6409,365459218;6310,846816102;6364,401841845;3508360442,87466;109006878047,625
2018-07-02;6363,378352016;6638,313861013;6302,439982773;6595,968717111;3807596497,40693;110312978867,13
2018-07-03;6595,97519117;6645,835589793;6483,5643111;6534,644902843;5004522312,65933;112894405915,372
2018-07-04;6537,368501721;6686,34437471;6435,020216612;6603,099908979;4840988987,80033;112438805144,068
2018-07-05;6612,111581483;6636,32626347;6492,340691035;6532,499354404;4643821207,80707;112764025003,038
2018-07-06;6528,310928764;6600,606900537;6461,897552997;6600,606900537;4811073504,46022;112044984491,78
2018-07-07;6594,777709362;6725,931831739;6528,997976578;6718,701013051;4981676689,53459;112643239518,513
2018-07-08;6715,378280114;6759,512216994;6687,644579808;6711,756799934;4983369408,61671;115356288726,251
2018-07-09;6713,143583017;6746,343655147;6664,513132981;6669,998510267;4925375835,09764;114903648635,785
2018-07-10;6670,315362761;6677,743511768;6316,171327848;6319,835609607;4677923064,3434;111216854320,205
2018-07-11;6318,741219514;6390,003177931;6318,741219514;6367,687185252;3967828329,81687;108981359942,404
2018-07-12;6369,836850151;6375,149278186;6129,642442926;6202,44217648;3447735128,47817;106786605367,428
2018-07-13;6217,319818144;6294,955455211;6181,047378458;6215,784717881;3821904703,04692;107041202810,183
2018-07-14;6220,174225132;6264,895759144;6195,27963683;6250,050406982;3734323550,33116;106911716788,276
